layer,experiment,scenario,status,evidence_or_blocker
setup,4-11,configure_xlen32,PASS,logs/configure32.log
setup,4-11,configure_xlen64,PASS,logs/configure64.log
unit,4,nop_baseline,PASS,logs/exp04_baseline.log
unit,4,nop_fast_path,PASS,logs/exp04_fastpath.log
unit,5,command_unpack,PASS,logs/exp05_unpack.log
unit,6,fetch_depth1,PASS,logs/exp06_depth1.log
unit,6,fetch_depth2,PASS,logs/exp06_depth2.log
unit,7,priority_arbitration,PASS,logs/exp07.log
unit,8,aging,PASS,logs/exp08.log
unit,9,event_wait_fairness,PASS,logs/exp09.log
integration,11,multi_queue_rtl,PASS,logs/exp11_rtl.log
build,11,runtime_stub,PASS,logs/runtime_stub.log
integration,11,runtime_four_queue,PASS,logs/runtime_multi_queue.log
build,4-11,combined_cp_core,PASS,logs/combined_build.log
integration,4-11,combined_1000_commands,PASS,logs/combined_run.log
model,4-11,simx_demo,PASS,logs/simx_demo.log
rtl,4-11,rtlsim_demo,PASS,logs/rtlsim_demo.log
rtl,4-11,rtlsim_sgemm16,PASS,logs/rtlsim_sgemm.log
planning,10,qmd_launch,DEFERRED,本阶段尚未实施，不能计入实验完成数
xrt,4-11,full_integration,BLOCKED,缺少XRT工具或FPGA_BIN_DIR/xclbin
