mode,test,queue,request_count,grant_count,average_wait,max_wait,pending_wait
baseline,A,0,400,100,2.970000,3,3
baseline,A,1,400,100,2.980000,3,2
baseline,A,2,400,100,2.990000,3,1
baseline,A,3,400,100,3.000000,3,0
baseline,B,0,128,64,0.984375,1,1
baseline,B,1,128,64,1.000000,1,0
baseline,C,0,128,32,2.906250,3,3
baseline,C,1,128,32,2.937500,3,2
baseline,C,2,128,32,2.968750,3,1
baseline,C,3,128,32,3.000000,3,0
baseline,S,0,512,256,0.996094,1,1
baseline,S,1,512,256,1.000000,1,0
priority,A,0,400,100,2.970000,3,3
priority,A,1,400,100,2.980000,3,2
priority,A,2,400,100,2.990000,3,1
priority,A,3,400,100,3.000000,3,0
priority,B,0,128,0,-1.000000,128,128
priority,B,1,128,128,0.000000,0,0
priority,C,0,128,0,-1.000000,128,128
priority,C,1,128,64,0.984375,1,1
priority,C,2,128,64,1.000000,1,0
priority,C,3,128,0,-1.000000,128,128
priority,S,0,512,0,-1.000000,512,512
priority,S,1,512,512,0.000000,0,0
aging,A,0,400,100,2.970000,3,3
aging,A,1,400,100,2.980000,3,2
aging,A,2,400,100,2.990000,3,1
aging,A,3,400,100,3.000000,3,0
aging,B,0,128,1,64.000000,64,63
aging,B,1,128,127,0.007874,1,0
aging,C,0,128,1,66.000000,66,61
aging,C,1,128,62,1.048387,3,1
aging,C,2,128,62,1.064516,3,0
aging,C,3,128,3,32.333333,33,28
aging,S,0,512,7,64.000000,64,57
aging,S,1,512,505,0.013861,1,0
